#,Driver,Pts,Diff,Zolder,Misano Race 1,Misano Race 2,Leguna Seca,Nurburgring,Monza Race 1,Monza Race 2,Barcelona,Hungaroring,Zandvoort Race 1,Zandvoort Race 2,Silverstone,Suzuka,Wins,Poles,Podiums,Best Finish,Average Finish,Fastest Lap
68,Neil Sutherland,50,0,1,,,,,,,,,,,,,1,0,1,1,1,0
13,Ryan Flanagan,47,-3,2,,,,,,,,,,,,,0,1,1,2,2,1
207,Thomas DiLibero,40,-10,3,,,,,,,,,,,,,0,0,1,3,3,0
96,Robert Bowers,36,-14,4,,,,,,,,,,,,,0,0,0,4,4,0
67,Mark Sutherland,33,-17,5,,,,,,,,,,,,,0,0,0,5,5,0
78,David Anderson,30,-20,6,,,,,,,,,,,,,0,0,0,6,6,0
66,Adam Stark,27,-23,7,,,,,,,,,,,,,0,0,0,7,7,0
9,Aaron Matthews,24,-26,8,,,,,,,,,,,,,0,0,0,8,8,0
27,William Pyefinch,21,-29,9,,,,,,,,,,,,,0,0,0,9,9,0
